Starting Training
Length of vocab built is  20999
Directory created at  /scratch/cse/dual/cs5190443/col772-2302/A2_eval/COL772-2302-A2/cs5190448/model
Training Loss at epoch 0: 0.13489634182687876
Val Loss at epoch 0: 0.8720195536224987
Training Loss at epoch 1: 0.07151999432410061
Val Loss at epoch 1: 0.6729620878879254
Training Loss at epoch 2: 0.05690669557866202
Val Loss at epoch 2: 0.6185054086839048
Training Loss at epoch 3: 0.047784126874640995
Val Loss at epoch 3: 0.5996304850418347
Training Loss at epoch 4: 0.04093743700369351
Val Loss at epoch 4: 0.5775819627669292
Training Loss at epoch 5: 0.03478876898712904
Val Loss at epoch 5: 0.5380533389485301
Training Loss at epoch 6: 0.028648915703444768
Val Loss at epoch 6: 0.45943298439581554
Training Loss at epoch 7: 0.02182010696568989
Val Loss at epoch 7: 0.4100315105050993
Training Loss at epoch 8: 0.017108374363565503
Val Loss at epoch 8: 0.39155180003946294
Training Loss at epoch 9: 0.014158026803128769
Val Loss at epoch 9: 0.3818325440402324
Training Loss at epoch 10: 0.011846019773705615
Val Loss at epoch 10: 0.37803034515331346
Training Loss at epoch 11: 0.010026601905094653
Val Loss at epoch 11: 0.37869233292595933
Training Loss at epoch 12: 0.008277445678423475
Val Loss at epoch 12: 0.3778174027782707
Training Loss at epoch 13: 0.0072575100528484305
Val Loss at epoch 13: 0.3956197063072611
Training Loss at epoch 14: 0.006355258402191472
Val Loss at epoch 14: 0.4125899828482455
Training Loss at epoch 15: 0.005908560411200296
Val Loss at epoch 15: 0.401111617922402
Training Loss at epoch 16: 0.004907116132586198
Val Loss at epoch 16: 0.41541366900998755
Training Loss at epoch 17: 0.004231746224701679
Val Loss at epoch 17: 0.42543426437300447
Training Loss at epoch 18: 0.0034226949327215385
Val Loss at epoch 18: 0.4067427260065139
Training Loss at epoch 19: 0.0029199096712878565
Val Loss at epoch 19: 0.4126290184547589
Training Loss at epoch 20: 0.002397525791335657
Val Loss at epoch 20: 0.4177098378948957
Training Loss at epoch 21: 0.0021565319857344773
Val Loss at epoch 21: 0.4183602369903325
Training Loss at epoch 22: 0.0018533864271176926
Val Loss at epoch 22: 0.41312835474603454
Training Loss at epoch 23: 0.0016649119848575866
Val Loss at epoch 23: 0.41458579773394266
Training Loss at epoch 24: 0.0015041467449639547
Val Loss at epoch 24: 0.42109843115909945
Training Loss at epoch 25: 0.001311986781961094
Val Loss at epoch 25: 0.4038608875412036
Training Loss at epoch 26: 0.0013830731038086519
Val Loss at epoch 26: 0.4003412938381459
Training Loss at epoch 27: 0.001264623615644476
Val Loss at epoch 27: 0.41751116114711695
Training Loss at epoch 28: 0.0012525237315512187
Val Loss at epoch 28: 0.4201725690551965
Training Loss at epoch 29: 0.0010532426473906743
Val Loss at epoch 29: 0.41730537530039985
Training Loss at epoch 30: 0.0016309834525970392
Val Loss at epoch 30: 0.470188694187074
Training Loss at epoch 31: 0.0021971530170138546
Val Loss at epoch 31: 0.4213158542276568
Training Loss at epoch 32: 0.0012176293833619774
Val Loss at epoch 32: 0.42783790269370797
Training Loss at epoch 33: 0.0008990449085183183
Val Loss at epoch 33: 0.41412791292411466
Training Loss at epoch 34: 0.0008528100352920337
Val Loss at epoch 34: 0.37976480078379127
